@relation Homer-Bart
@attribute primitive_orange numeric
@attribute primitive_blanc numeric
@attribute primitive_gris numeric
@attribute primitive_vert numeric
@attribute primitive_bleu numeric
@attribute primitive_rouge numeric
@attribute classe {Homer, Bart, Lisa}
@data
0.043475,0.097435,0.016758,0.000000,0.000000,0.001779,Homer
0.000000,0.409760,0.070975,0.000000,0.000000,0.000000,Homer
0.000000,0.486493,0.076279,0.000000,0.000000,0.000000,Homer
0.000000,0.360912,0.026115,0.000000,0.000163,0.000000,Homer
0.000000,0.093303,0.009758,0.000000,0.000271,0.000472,Homer
0.000000,0.141341,0.036453,0.000000,0.000000,0.000000,Homer
0.000000,0.335210,0.021513,0.000000,0.000106,0.000000,Homer
0.000000,0.604630,0.054431,0.000000,0.000000,0.000005,Homer
0.000000,0.388109,0.015553,0.000000,0.000000,0.001073,Homer
0.000000,0.302038,0.016935,0.000000,0.302948,0.000000,Homer
0.009259,0.051037,0.010140,0.000000,0.000000,0.000030,Homer
0.032023,0.258439,0.017634,0.000000,0.000000,0.000000,Homer
0.000000,0.261234,0.025687,0.000000,0.000000,0.000386,Homer
0.000000,0.050526,0.036665,0.000000,0.005845,0.010573,Homer
0.000000,0.204791,0.009004,0.045754,0.000000,0.001529,Homer
0.000000,0.255127,0.020696,0.000000,0.000000,0.003086,Homer
0.000000,0.500093,0.022116,0.000000,0.000000,0.000000,Homer
0.000000,0.266010,0.027765,0.000000,0.000000,0.000000,Homer
0.046269,0.320913,0.018833,0.000000,0.000000,0.000000,Homer
0.000000,0.254551,0.027327,0.000000,0.000000,0.000000,Homer
0.000000,0.295149,0.025010,0.000000,0.000083,0.000111,Homer
0.000000,0.295087,0.044535,0.000000,0.001144,0.000000,Homer
0.000000,0.265829,0.025780,0.000000,0.000778,0.000000,Homer
0.000000,0.347540,0.008043,0.000000,0.000996,0.000000,Homer
0.021291,0.306045,0.014438,0.000000,0.000038,0.000789,Homer
0.000000,0.117526,0.040371,0.000000,0.008186,0.002341,Homer
0.000000,0.108161,0.006309,0.000000,0.001315,0.000000,Homer
0.000000,0.328727,0.035897,0.000000,0.000226,0.001051,Homer
0.000000,0.107885,0.023721,0.000000,0.000903,0.000000,Homer
0.000000,0.284125,0.011843,0.000000,0.000000,0.000000,Homer
0.000000,0.314106,0.127125,0.000000,0.000192,0.000000,Homer
0.000000,0.242077,0.013960,0.000000,0.011207,0.001368,Homer
0.000000,0.096397,0.000000,0.000000,0.160178,0.000000,Homer
0.000000,0.276384,0.000000,0.000000,0.000000,0.000000,Homer
0.000000,0.190154,0.017701,0.000000,0.017596,0.000000,Homer
0.000000,0.326457,0.000674,0.000000,0.235305,0.000000,Homer
0.000000,0.147010,0.009262,0.000000,0.000000,0.000000,Homer
0.000000,0.306228,0.030797,0.000000,0.001410,0.000000,Homer
0.000000,0.123872,0.000000,0.000000,0.000000,0.000000,Homer
0.000000,0.326994,0.019109,0.000000,0.175398,0.000000,Homer
0.010007,0.348428,0.018567,0.000000,0.168089,0.021002,Homer
0.000000,0.093943,0.009709,0.000000,0.000000,0.000000,Homer
0.000000,0.395494,0.020254,0.000000,0.181611,0.000000,Homer
0.000000,0.418199,0.023026,0.000000,0.000000,0.000000,Homer
0.000000,0.135319,0.091033,0.000000,0.000000,0.000000,Homer
0.000000,0.275298,0.080751,0.000000,0.000000,0.000000,Homer
0.000000,0.081314,0.029216,0.000000,0.001013,0.000000,Homer
0.000000,0.452761,0.035886,0.000000,0.000205,0.000000,Homer
0.000000,0.185374,0.094342,0.000000,0.000000,0.000000,Homer
0.000000,0.246418,0.000288,0.000000,0.002202,0.000000,Homer
0.000000,0.302038,0.016935,0.000000,0.302948,0.000000,Homer
0.000000,0.355090,0.040712,0.000000,0.045642,0.001969,Homer
0.000000,0.041756,0.009267,0.000000,0.000000,0.000000,Homer
0.000000,0.187152,0.010168,0.000000,0.132633,0.000000,Homer
0.000000,0.236290,0.039617,0.000925,0.000000,0.000000,Homer
0.000000,0.392727,0.052971,0.000000,0.004005,0.002382,Homer
0.000000,0.167867,0.021140,0.000000,0.000000,0.000000,Homer
0.000000,0.084587,0.292012,0.000000,0.000000,0.000000,Homer
0.000000,0.061830,0.195673,0.000000,0.000000,0.000000,Homer
0.000000,0.315977,0.065121,0.000000,0.000578,0.000000,Homer
0.000000,0.249122,0.030363,0.000000,0.000000,0.000000,Homer
0.000000,0.482693,0.083945,0.000000,0.000000,0.002932,Homer
0.137189,0.214950,0.000000,0.000000,0.000000,0.000885,Bart
0.072283,0.342906,0.000000,0.000000,0.000000,0.018565,Bart
0.123292,0.166312,0.023538,0.000000,0.000000,0.029616,Bart
0.157611,0.123826,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.369477,0.000000,0.000000,0.093040,0.000000,Bart
0.000000,0.214717,0.000000,0.000000,0.000000,0.000000,Bart
0.086557,0.179486,0.000020,0.000000,0.000444,0.000000,Bart
0.126568,0.133272,0.000000,0.190545,0.000000,0.000000,Bart
0.137675,0.157708,0.000000,0.060063,0.000000,0.001516,Bart
0.069640,0.132656,0.000000,0.000000,0.000000,0.000000,Bart
0.302166,0.067710,0.000035,0.000000,0.000000,0.000000,Bart
0.188582,0.137017,0.000000,0.000000,0.000000,0.001446,Bart
0.118540,0.111865,0.000000,0.232383,0.000000,0.000000,Bart
0.085564,0.262703,0.000000,0.000000,0.000000,0.000000,Bart
0.077402,0.456786,0.040756,0.000000,0.000000,0.052557,Bart
0.011036,0.106955,0.000000,0.000000,0.000816,0.000000,Bart
0.261734,0.044563,0.000000,0.000000,0.000273,0.000000,Bart
0.000000,0.283016,0.000000,0.000000,0.000000,0.000000,Bart
0.040108,0.398576,0.004933,0.000000,0.000000,0.000000,Bart
0.000000,0.081758,0.000000,0.098272,0.000000,0.000000,Bart
0.142930,0.198896,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.128771,0.000000,0.000000,0.000000,0.000000,Bart
0.149302,0.099789,0.000000,0.016825,0.000000,0.000000,Bart
0.131431,0.060506,0.000000,0.000000,0.000000,0.000000,Bart
0.034802,0.366004,0.000000,0.000000,0.000000,0.000324,Bart
0.112730,0.325522,0.000000,0.000000,0.000000,0.001059,Bart
0.155076,0.086465,0.000000,0.000000,0.000000,0.000372,Bart
0.000000,0.261370,0.000000,0.000000,0.000000,0.003763,Bart
0.168067,0.079699,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.255968,0.000000,0.000000,0.000000,0.128081,Bart
0.000000,0.095176,0.000000,0.000000,0.000000,0.000000,Bart
0.127386,0.220892,0.000000,0.000000,0.000000,0.000000,Bart
0.146235,0.301160,0.001622,0.000000,0.000000,0.003934,Bart
0.000000,0.152487,0.000000,0.000000,0.000000,0.001639,Bart
0.000000,0.033075,0.076958,0.000000,0.000000,0.064116,Bart
0.072228,0.206216,0.000000,0.091314,0.000008,0.000000,Bart
0.000000,0.128130,0.000079,0.000000,0.000000,0.000000,Bart
0.023538,0.181044,0.000000,0.000000,0.000000,0.004861,Bart
0.078921,0.168804,0.000439,0.000000,0.001597,0.001885,Bart
0.178816,0.200295,0.000050,0.000000,0.000285,0.000000,Bart
0.000000,0.099862,0.000365,0.000000,0.000292,0.000000,Bart
0.116510,0.158193,0.000000,0.000000,0.000000,0.000000,Bart
0.210464,0.113170,0.000245,0.000000,0.001245,0.000000,Bart
0.156305,0.097690,0.000543,0.000000,0.000663,0.000000,Bart
0.100498,0.142509,0.000771,0.000000,0.000000,0.000000,Bart
0.000000,0.156581,0.000000,0.000000,0.000186,0.000000,Bart
0.000000,0.369907,0.000947,0.000000,0.000631,0.001543,Bart
